Name,POS,"Ht("")",Wt (lbs),40yd,40Z,BP,BPZ,"Vertical ("")",VZ,"Broad Jump("")",BJZ,Shuttle,SZ,3Cone,3CZ,TotZ,AvgZ,Rd,Pick,Rank,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detric Allen,CB,73,200,4.59,0.739690694,,,,,,,,,,,0.739690694,0.739690694,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Dexter McDonald,CB,73,203,4.57,0.806547179,,,,,,,,,,,0.806547179,0.806547179,7,242,232,,6,0,29,40,69,11.5,,6,0,2,53,55,9.166666667,,15,0,534,95,629,41.93333333,
Dior Mathis,CB,68,175,4.49,1.073973115,,,,,,,,,,,1.073973115,1.073973115,,,,,,,,,0,,,,,,,0,,,,,,,0,,
DJoun Smith,CB,70,187,4.45,1.207686084,18,-0.459350894,36,0.56954678,124,0.934032423,4.26,0.420330122,6.96,0.794048454,3.466292968,0.577715495,3,65,64,,,,,,0,,,,,,,0,,,,,,,0,,
Donald Celiscar,CB,70.88,194,4.62,0.639405968,,,,,120,0.51303681,,,,,1.152442778,0.576221389,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Doran Grant,CB,70.25,200,4.44,1.241114326,21,0.031402366,33,-0.142270839,116,0.092041198,4.33,0.145115979,,,1.36740303,0.273480606,4,121,119,,3,0,1,17,18,6,,,,,,0,,,,,,,0,,
DreQuan Hoskey,CB,73,180,4.49,1.073973115,,,,,,,,,,,1.073973115,1.073973115,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Eric Rowe,CB,72.75,205,4.45,1.207686084,19,-0.295766474,39,1.281364399,125,1.039281326,3.97,1.560502997,6.7,1.451820113,6.244888445,1.040814741,2,47,46,,16,0,505,174,679,42.4375,,9,0,452,7,459,51,,8,0,259,13,272,34,
Garry Peters,CB,71.75,191,4.61,0.67283421,7,-2.258779517,32.5,-0.260907109,119,0.407787907,4,1.442554079,6.8,1.198831013,1.202320583,0.200386764,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Greg Henderson,CB,71,181,4.53,0.940260147,,,,,,,,,,,0.940260147,0.940260147,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Ifo Ekpre-Olomu,CB,69.13,192,4.52,0.973688389,,,,,,,,,,,0.973688389,0.973688389,7,241,231,,,,,,0,,,,,,,0,,,,,,,0,,
Imoan Claiborne,CB,70,189,4.53,0.940260147,,,,,,,,,,,0.940260147,0.940260147,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Jacoby Glenn,CB,72,179,4.64,0.572549484,,,34,0.0950017,123,0.82878352,4.26,0.420330122,6.97,0.768749544,2.68541437,0.537082874,,,,,1,0,0,3,3,3,,7,0,244,59,303,43.28571429,,,,,,0,,
JaCorey Shepherd,CB,70.88,199,4.54,0.906831905,14,-1.113688575,,,,,,,,,-0.206856671,-0.103428335,6,191,185,,,,,,0,,,11,0,11,111,122,11.09090909,,,,,,0,,
Jalen Collins,CB,73.5,203,4.48,1.107401358,,,36,0.56954678,124,0.934032423,4.27,0.381013816,6.77,1.274727743,4.266722119,0.853344424,2,42,41,,16,0,300,187,487,30.4375,,8,0,424,47,471,58.875,,,,,,0,,
Jeremiah Johnson,CB,71,195,4.54,0.906831905,20,-0.132182054,35,0.33227424,115,-0.013207705,,,,,1.093716386,0.273429096,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Jonathon Mincy,CB,70,191,4.55,0.873403663,,,,,,,,,,,0.873403663,0.873403663,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Josh Shaw,CB,72.5,201,4.44,1.241114326,26,0.849324468,37.5,0.925455589,130,1.565525842,4.12,0.970758406,7.01,0.667553904,6.219732536,1.036622089,4,120,118,,15,0,116,250,366,24.4,,16,0,618,219,837,52.3125,,16,0,552,219,771,48.1875,
Julian Wilson,CB,74,205,4.58,0.773118936,,,36,0.56954678,125,1.039281326,4.22,0.577595346,6.94,0.844646274,3.804188662,0.760837732,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Justin Coleman,CB,70.63,185,4.53,0.940260147,20,-0.132182054,37.5,0.925455589,124,0.934032423,3.98,1.521186691,6.61,1.679510303,5.868263099,0.97804385,,,,,10,0,300,15,315,31.5,,10,0,227,65,292,29.2,,16,0,654,223,877,54.8125,
Justin Cox,CB,72.63,191,4.36,1.508540263,15,-0.950104155,38,1.044091859,129,1.460276939,4.07,1.167339937,7.05,0.566358264,4.796503107,0.799417184,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Kevin Johnson,CB,72.25,188,4.52,0.973688389,,,41.5,1.874545748,130,1.565525842,3.89,1.875033446,6.79,1.224129923,7.512923348,1.50258467,1,16,16,,16,0,800,125,925,57.8125,,6,0,289,94,383,63.83333333,,12,0,579,43,622,51.83333333,
Kevin White,CB,69.13,183,4.63,0.605977726,18,-0.459350894,35.5,0.45091051,121,0.618285713,4.14,0.892125794,6.92,0.895244094,3.003192943,0.500532157,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Ladarius Gunter,CB,73.5,202,4.69,0.405408273,12,-1.440857416,33.5,-0.023634569,108,-0.749950028,4.41,-0.169414469,7.18,0.237472435,-1.740975774,-0.290162629,,,,,7,0,8,46,54,7.714285714,,16,0,859,117,976,61,,5,0,2,51,53,10.6,
LeVander Liggins,CB,70,191,4.49,1.073973115,,,,,,,,,,,1.073973115,1.073973115,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Lorenzo Doss,CB,70.38,182,4.5,1.040544873,9,-1.931610677,33.5,-0.023634569,115,-0.013207705,4.26,0.420330122,7.2,0.186874615,-0.320703342,-0.053450557,5,164,159,,6,0,3,38,41,6.833333333,,6,0,77,36,113,18.83333333,,3,0,8,57,65,21.66666667,
Marcus Peters,CB,71.63,197,4.53,0.940260147,17,-0.622935315,37.5,0.925455589,121,0.618285713,4.08,1.128023631,7.08,0.490461534,3.4795513,0.579925217,1,18,18,,,0,1036,5,1041,,,15,0,1007,6,1013,67.53333333,,14,0,967,1,968,69.14285714,
Merrill Noel,CB,67,174,4.53,0.940260147,,,,,,,,,,,0.940260147,0.940260147,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Nick Marshall,CB,73.5,207,4.54,0.906831905,12,-1.440857416,37.5,0.925455589,124,0.934032423,4.15,0.852809488,6.96,0.794048454,2.972320443,0.495386741,,,,,13,0,141,186,327,25.15384615,,8,0,0,106,106,13.25,,,,,,0,,
Nick Waisome,CB,69,182,4.48,1.107401358,,,,,,,,,,,1.107401358,1.107401358,,,,,,,,,0,,,,,,,0,,,,,,,0,,
P.J. Williams,CB,72,194,4.57,0.806547179,12,-1.440857416,40,1.518636939,132,1.776023648,4.28,0.34169751,7.08,0.490461534,3.492509393,0.582084899,3,78,77,,,,,,0,,,2,0,82,0,82,41,,16,0,632,87,719,44.9375,
Quandre Diggs,CB,69.13,196,4.56,0.839975421,17,-0.622935315,35.5,0.45091051,113,-0.223705512,4.15,0.852809488,7.22,0.136276795,1.433331388,0.238888565,6,200,193,,16,0,471,112,583,36.4375,,12,0,421,84,505,42.08333333,,16,0,789,123,912,57,
Quinten Rollins,CB,71.13,195,4.57,0.806547179,14,-1.113688575,36.5,0.68818305,122,0.723534617,4.28,0.34169751,7.1,0.439863715,1.886137494,0.314356249,2,62,61,,14,0,322,203,525,37.5,,13,0,702,56,758,58.30769231,,6,0,139,63,202,33.66666667,
