Name,POS,"Ht("")",Wt (lbs),40yd,40Z,BP,BPZ,"Vertical ("")",VZ,"Broad Jump("")",BJZ,Shuttle,SZ,3Cone,3CZ,TotZ,AvgZ,Rd,Pick,Rank,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Fuller,CB,71.75,190,4.49,0.964672294,12,-1.215660876,38.5,1.310339742,127,1.404618819,4.19,0.723577392,6.9,0.858818841,4.046366211,0.674394369,1,14,14,,16,0,858,115,973,60.8125,,16,0,1022,130,1152,72,,,,,,0,,,16,0,1017,65,1082,67.625,
Lamarcus Joyner,CB,68,184,4.55,0.755568045,14,-0.921936108,37.5,1.085719544,123,0.958083482,4.4,-0.12692437,7.26,-0.031181182,1.719329411,0.286554902,2,41,40,,10,0,251,78,329,32.9,,16,0,729,35,764,47.75,,14,0,700,12,712,50.85714286,,12,0,688,4,692,57.66666667,
Lavelle Westbrooks,CB,71,186,4.63,0.476762381,15,-0.775073724,36,0.748789248,121,0.734815813,4.27,0.399576721,6.98,0.661041058,2.245911497,0.374318583,7,252,201,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Loucheiz Purifoy,CB,71.5,190,4.61,0.546463797,6,-2.09683518,35.5,0.63647915,120,0.623181979,,,,,-0.290710254,-0.072677564,,,,,11,0,48,213,261,23.72727273,,,,,,0,,,,,,,0,,,,,,,0,,
Marcus Roberson,CB,72.25,191,4.61,0.546463797,8,-1.803110412,37.5,1.085719544,120,0.623181979,4.08,1.169078315,6.84,1.007152178,2.628485401,0.4380809,,,,,9,0,130,80,210,23.33333333,,16,0,328,129,457,28.5625,,7,0,28,49,77,11,,,,,,0,,
Nevin Lawson,CB,69.5,190,4.48,0.999523002,16,-0.62821134,33,0.074928656,120,0.623181979,4.4,-0.12692437,7.12,0.314929938,1.257427865,0.209571311,4,133,126,,2,0,61,25,86,43,,14,0,561,95,656,46.85714286,,16,0,924,123,1047,65.4375,,15,0,555,161,716,47.73333333,
Phillip Gaines,CB,72.38,193,4.38,1.348030083,11,-1.36252326,36.5,0.861099347,122,0.846449648,4.04,1.331078651,6.62,1.55104108,4.575175549,0.762529258,3,87,83,,13,0,370,153,523,40.23076923,,3,0,167,15,182,60.66666667,,11,0,446,64,510,46.36363636,,14,0,419,142,561,40.07142857,
Pierre Desir,CB,73,198,4.59,0.616165213,11,-1.36252326,35,0.524169051,133,2.074421824,4.3,0.278076469,6.86,0.957707732,3.088017029,0.514669505,4,127,120,,5,0,118,24,142,28.4,,14,0,388,59,447,31.92857143,,5,0,22,37,59,11.8,,9,0,375,11,386,42.88888889,
Rashaad Reynolds,CB,69.88,189,4.51,0.894970878,20,-0.040761805,37.5,1.085719544,123,0.958083482,4,1.493078987,6.72,1.303818852,5.694909938,0.949151656,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Ricardo Allen,CB,69.13,187,4.61,0.546463797,13,-1.068798492,35.5,0.63647915,116,0.176646642,4.15,0.885577728,,,1.176368824,0.235273765,5,147,139,,,,,,0,,,15,0,838,118,956,63.73333333,,16,0,1101,30,1131,70.6875,,15,0,954,35,989,65.93333333,
Ross Cockrell,CB,72,191,4.56,0.720717337,10,-1.509385644,36.5,0.861099347,122,0.846449648,4.32,0.197076301,7.28,-0.080625628,1.035331361,0.172555227,4,109,104,,7,0,11,60,71,10.14285714,,15,0,684,26,710,47.33333333,,16,0,1025,68,1093,68.3125,,16,0,679,114,793,49.5625,
Stanley Jean-Baptiste,CB,74.63,218,4.61,0.546463797,13,-1.068798492,41.5,1.984200334,127,1.404618819,4.33,0.156576217,,,3.023060674,0.604612135,2,58,57,,4,0,8,30,38,9.5,,,,,,0,,,,,,,0,,,1,0,0,24,24,24,
Terrance Mitchell,CB,71.13,192,4.63,0.476762381,,,34,0.299548854,116,0.176646642,4,1.493078987,6.57,1.674652195,4.120689057,0.824137811,7,254,203,,,,,,0,,,8,0,131,57,188,23.5,,7,0,240,13,253,36.14285714,,15,0,705,16,721,48.06666667,
Todd Washington,CB,71.38,196,4.57,0.685866629,13,-1.068798492,,,,,,,,,-0.382931863,-0.191465931,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Travis Carrie,CB,71.63,206,4.49,0.964672294,17,-0.481348956,,,,,,,,,0.483323338,0.241661669,7,219,187,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Victor Hampton,CB,69,197,4.69,0.267658132,20,-0.040761805,33.5,0.187238755,116,0.176646642,4.2,0.683077308,7.01,0.586874389,1.860733422,0.310122237,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Aaron Lynch,DE,77,249,4.76,0.023703175,18,-0.334486572,,,,,,,,,-0.310783397,-0.155391699,5,150,141,,16,0,468,114,582,36.375,,14,0,793,62,855,61.07142857,,7,0,222,25,247,35.28571429,,7,0,157,1,158,22.57142857,
Cassius Marsh,DE,76,252,4.89,-0.42935603,14,-0.921936108,32,-0.149691541,108,-0.716424032,4.25,0.480576889,7.08,0.413818829,-1.323011993,-0.220501999,4,108,103,,5,0,71,6,77,15.4,,16,0,190,225,415,25.9375,,16,0,388,347,735,45.9375,,15,0,455,267,722,48.13333333,
Chris Smith,DE,73,266,4.71,0.197956716,28,1.134137267,37,0.973409446,121,0.734815813,4.46,-0.369924874,7.55,-0.748125645,1.922268723,0.320378121,5,159,148,,7,0,89,60,149,21.28571429,,6,0,154,45,199,33.16666667,,6,0,69,18,87,14.5,,16,0,401,87,488,30.5,
